iter	Passed	Remaining
0	14	3732
1	30	3798
2	45	3763
3	81	4989
4	104	5097
5	119	4870
6	135	4686
7	150	4555
8	165	4429
9	182	4377
10	197	4290
11	212	4218
12	227	4139
13	241	4074
14	256	4017
15	270	3960
16	284	3899
17	300	3871
18	315	3840
19	331	3814
20	345	3771
21	360	3731
22	372	3678
23	387	3653
24	402	3624
25	415	3580
26	429	3543
27	443	3514
28	455	3473
29	468	3434
30	483	3412
31	497	3386
32	512	3371
33	527	3350
34	540	3321
35	554	3298
36	568	3273
37	583	3254
38	597	3234
39	612	3213
40	625	3189
41	639	3167
42	654	3148
43	668	3127
44	682	3106
45	696	3089
46	711	3073
47	724	3050
48	739	3032
49	753	3012
50	765	2986
51	779	2969
52	794	2952
53	808	2935
54	821	2912
55	833	2885
56	847	2868
57	861	2851
58	875	2835
59	889	2818
60	904	2801
61	918	2784
62	933	2770
63	946	2750
64	959	2730
65	974	2716
66	990	2705
67	1003	2685
68	1016	2667
69	1030	2650
70	1045	2635
71	1059	2618
72	1073	2603
73	1086	2583
74	1099	2566
75	1113	2549
76	1127	2534
77	1141	2518
78	1155	2501
79	1169	2485
80	1183	2469
81	1197	2454
82	1211	2437
83	1226	2423
84	1239	2406
85	1253	2389
86	1262	2365
87	1276	2349
88	1288	2331
89	1303	2317
90	1318	2304
91	1332	2289
92	1346	2272
93	1356	2250
94	1361	2221
95	1376	2207
96	1386	2187
97	1401	2173
98	1415	2158
99	1429	2144
100	1442	2128
101	1454	2110
102	1461	2085
103	1475	2071
104	1488	2055
105	1498	2036
106	1506	2012
107	1519	1997
108	1531	1981
109	1545	1966
110	1558	1951
111	1573	1938
112	1586	1923
113	1601	1910
114	1607	1886
115	1612	1862
116	1628	1850
117	1641	1836
118	1654	1821
119	1667	1806
120	1680	1791
121	1694	1777
122	1708	1763
123	1722	1750
124	1734	1734
125	1747	1719
126	1759	1704
127	1772	1689
128	1784	1674
129	1798	1660
130	1811	1645
131	1826	1633
132	1841	1620
133	1855	1606
134	1869	1592
135	1884	1580
136	1897	1564
137	1912	1552
138	1926	1538
139	1937	1522
140	1953	1509
141	1966	1495
142	1978	1480
143	1991	1466
144	1998	1447
145	2004	1427
146	2020	1415
147	2030	1399
148	2044	1386
149	2058	1372
150	2072	1358
151	2087	1345
152	2102	1332
153	2116	1319
154	2129	1305
155	2142	1291
156	2154	1276
157	2170	1263
158	2185	1250
159	2200	1237
160	2215	1224
161	2231	1212
162	2246	1198
163	2260	1185
164	2275	1172
165	2290	1159
166	2306	1146
167	2320	1132
168	2336	1119
169	2343	1102
170	2356	1088
171	2371	1075
172	2385	1061
173	2398	1047
174	2412	1033
175	2425	1019
176	2439	1006
177	2452	991
178	2461	976
179	2469	960
180	2481	946
181	2494	932
182	2507	918
183	2519	903
184	2532	889
185	2548	876
186	2562	863
187	2574	849
188	2589	835
189	2595	819
190	2607	805
191	2614	789
192	2628	776
193	2642	762
194	2657	749
195	2664	734
196	2675	719
197	2688	706
198	2702	692
199	2717	679
200	2731	665
201	2743	652
202	2757	638
203	2771	624
204	2786	611
205	2803	598
206	2814	584
207	2831	571
208	2847	558
209	2864	545
210	2878	532
211	2888	517
212	2905	504
213	2924	492
214	2939	478
215	2946	463
216	2960	450
217	2972	436
218	2986	422
219	3003	409
220	3022	396
221	3040	383
222	3058	370
223	3071	356
224	3087	343
225	3104	329
226	3119	316
227	3130	302
228	3139	287
229	3144	273
230	3153	259
231	3164	245
232	3178	231
233	3192	218
234	3205	204
235	3220	191
236	3235	177
237	3250	163
238	3263	150
239	3280	136
240	3287	122
241	3299	109
242	3316	95
243	3330	81
244	3341	68
245	3354	54
246	3367	40
247	3381	27
248	3394	13
249	3407	0
